Temperature,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3
61.3582631,489315.4375,532415.625,465630.25,501116.375,529679.75,539207.875,502620.8125,525575.125,518983.5,576677.625,537906.5,469427.625,558347.625,546027.5,519944.8125,586178.25,551219.9375,364301.5,578003.75,535011.5625,529109.4375,521025.0625,543417.875,552547.5,557193.375,540064.4375,533446.375
61.43528571,489056.0625,531805.4375,464913.8125,500519.9375,530593.3125,537851.125,501088.0625,524538.25,517399.5625,576612.75,538004.125,468581.625,559212.875,546274.0625,518926.375,585425.5625,548756.1875,362413,576512.375,532603.125,527676.125,521122.0625,542298.875,551032.5625,557109.4375,539395,531750.875
61.51187143,488399.1875,530664.625,463925.9375,499805,528997.6875,536270.5,500256.25,523556.3438,517070.5938,573669.0625,536632.625,468190.1875,555460.0625,543442,515479.375,582975.3125,547048.1875,361287.9062,574729.875,533172,527034.1875,519915.5625,540761.125,551005.6875,556276.5,538612.5625,531191.25
61.59181071,488143.75,529568.875,462681.625,499074,528636.9375,536358.3125,498825.7188,521770.5,516966.1562,571887.8125,535123.9375,467745.125,554978.25,542531.875,511591.25,578897,546867.8125,360794.1875,571986.125,532003.75,526035.75,518625.9062,539365.875,546247.4375,555419.5,537515.375,528886.125
61.67252381,487653.0625,528318.375,461703.125,498797.4062,525672.375,534589.25,497713.25,520061.4375,517240.875,570282.25,531728.375,466755.3125,554602.3125,541370.75,512344.7188,579593.625,544415.5,359401.2188,571201.75,529999.375,524597.1875,516746.5625,536525,546135.625,554736.1875,536333.8125,527630.125
61.74817262,487352.4375,527160.9375,460843.5,497706.6562,525624.0625,532911.3125,496439.625,518287.0312,516104.7188,568344.6875,530007.6875,465396.9375,551479.3125,539073.8125,510193.625,578047.875,541343.5,357479.4688,569564.1875,526664.875,522411.2188,515568.2188,535408.625,546295.1875,553626.3125,534720.1875,526383
61.827475,486392.6875,526305.5,459389.7188,497266.6875,525538.5625,531824.8125,493994.0938,517000.5312,513178.3438,566840.8125,529136.25,463513,549032.375,537444.75,510039.4375,575472.5,539882.0625,357696.375,567624.75,525086.5,520751.8438,514598.7812,535216.625,541568.25,552515.125,533263.1875,523679.2812
61.90600833,485634.125,525190.3125,458383.3438,496729.2812,524283.8125,529991.9375,492379.5625,516059.5,512498.0625,565933.5,527609.8125,461382.2812,549741.375,536532.625,510615.25,573793.75,537965.0625,355652.25,564465.25,522661.2188,517904.375,513189.6875,532913,540782.625,550583.5,532254.4375,521852.5312
61.98284286,484270.25,523230.4688,457330.3438,495512.125,520779.9688,528256.875,491404.7812,514199.3125,511260.9375,562993.125,525912.8125,460200.9062,548165.1875,534585.5,505868.2188,570478.6875,537956.4375,354094.6875,563114.3125,521153.5,516358.6562,511011.9375,531748.25,540239.25,549568.8125,530480,520817.8125
62.06199762,484051.3438,522262.7188,456042.8438,495164.125,520281.125,527259.25,489204.25,511667.125,510610.875,561565.25,526819,458988.375,546279.3125,533094.6875,505010.8125,569638.625,533526.75,353290.4688,561578.875,518740.1875,514544.375,510354.1562,530991.375,536759.125,548139.75,528961.3125,518047.3125
